Input_Gray,Corrected_Output
0,0.0
1,0.5467598515585164
2,1.711861390295147
3,2.876962929031778
4,4.042064467768409
5,5.20716600650504
6,6.37226754524167
7,7.537369083978302
8,8.702470622714932
9,11.959741888479678
10,15.934511921166418
11,19.90928195385316
12,23.8840519865399
13,27.85882201922664
14,21.43389041438591
15,29.88234525449156
16,37.59003982389181
17,41.33585020236386
18,45.0816605808359
19,47.88835728071561
20,49.70924417631688
21,51.53013107191815
22,53.35101796751942
23,55.17190486312069
24,57.527691988520786
25,60.32964345313968
26,63.13159491775857
27,65.93354638237746
28,68.73549784699635
29,71.53744931161523
30,74.33940077623413
31,66.0246002646806
32,69.65957548997142
33,73.29455071526222
34,76.92952594055302
35,80.56450116584382
36,84.19947639113464
37,85.47820097076459
38,86.09145845992627
39,86.70471594908794
40,87.31797343824962
41,87.93123092741129
42,88.54448841657297
43,89.15774590573464
44,89.77100339489633
45,90.384260884058
46,90.99751837321966
47,91.61077586238135
48,92.22403335154301
49,92.8372908407047
50,93.45054832986636
51,94.87881412801514
52,103.02207389585307
53,103.59511073786919
54,104.16814757988531
55,104.74118442190145
56,105.31422126391757
57,105.8872581059337
58,106.46029494794982
59,107.03333178996594
60,107.60636863198206
61,108.17940547399819
62,108.75244231601431
63,109.32547915803043
64,109.89851600004656
65,110.47155284206268
66,111.0445896840788
67,111.61762652609492
68,112.19066336811105
69,112.76370021012717
70,113.27088021931016
71,113.73184625928154
72,114.19281229925292
73,114.6537783392243
74,115.11474437919568
75,115.57571041916705
76,116.03667645913843
77,116.49764249910982
78,116.9586085390812
79,117.41957457905258
80,117.88054061902396
81,118.34150665899533
82,118.80247269896671
83,119.26343873893809
84,119.72440477890947
85,120.18537081888086
86,120.64633685885224
87,121.1073028988236
88,121.56826893879499
89,122.07746422344376
90,123.29889067309819
91,124.5203171227526
92,125.74174357240703
93,126.96317002206146
94,128.18459647171588
95,129.40602292137032
96,130.62744937102474
97,131.84887582067915
98,132.16184120924953
99,132.34653401902915
100,132.53122682880877
101,132.7159196385884
102,132.900612448368
103,133.08530525814763
104,133.26999806792725
105,133.45469087770687
106,133.6393836874865
107,133.8240764972661
108,134.00876930704572
109,134.19346211682534
110,134.37815492660496
111,134.5628477363846
112,134.74754054616423
113,134.93223335594385
114,135.11692616572347
115,135.3016189755031
116,135.4863117852827
117,135.67100459506233
118,135.85569740484195
119,136.04039021462157
120,136.2250830244012
121,136.4097758341808
122,136.59446864396043
123,136.77916145374004
124,136.96385426351966
125,137.1485470732993
126,137.33323988307893
127,137.51793269285855
128,137.70262550263817
129,137.8873183124178
130,138.0720111221974
131,138.25670393197703
132,138.44139674175665
133,138.62608955153627
134,138.8107823613159
135,138.9954751710955
136,139.18016798087513
137,139.36486079065475
138,139.54955360043436
139,139.734246410214
140,139.91893921999363
141,140.10363202977325
142,140.28832483955287
143,140.4730176493325
144,140.6577104591121
145,140.84240326889173
146,141.04285132362696
147,141.3349353354662
148,141.62701934730546
149,141.91910335914469
150,142.21118737098394
151,142.5032713828232
152,142.79535539466244
153,143.08743940650166
154,143.3795234183409
155,143.67160743018016
156,143.9636914420194
157,144.25577545385866
158,144.54785946569788
159,144.83994347753713
160,145.13202748937638
161,145.42411150121563
162,145.71619551305486
163,146.0082795248941
164,146.30036353673336
165,146.5924475485726
166,146.88453156041183
167,147.17661557225108
168,147.46869958409033
169,147.76078359592958
170,148.05286760776883
171,148.34495161960805
172,148.6370356314473
173,148.92911964328655
174,149.2212036551258
175,149.51328766696503
176,149.80537167880428
177,150.09745569064353
178,150.38953970248278
179,150.681623714322
180,150.97370772616125
181,151.3913217852828
182,151.8213533499407
183,152.2513849145986
184,152.68141647925648
185,153.11144804391438
186,153.54147960857227
187,153.9715111732302
188,154.4015427378881
189,154.831574302546
190,155.26160586720388
191,155.69163743186178
192,156.12166899651967
193,156.55170056117757
194,156.98173212583546
195,157.41176369049336
196,157.84179525515125
197,158.27182681980915
198,158.70185838446704
199,159.13188994912494
200,159.56192151378283
201,159.99195307844073
202,162.41273316216672
203,164.8714752841781
204,167.3302174061895
205,169.78895952820088
206,172.24770165021226
207,174.70644377222365
208,177.16518589423507
209,179.62392801624645
210,182.08267013825784
211,184.54141226026923
212,187.0001543822806
213,189.458896504292
214,191.9176386263034
215,194.37638074831477
216,196.8351228703262
217,199.29386499233757
218,201.75260711434896
219,204.21134923636035
220,206.67009135837174
221,209.12883348038312
222,211.5875756023945
223,214.04631772440592
224,216.50505984641728
225,218.9638019684287
226,221.42254409044008
227,223.88128621245147
228,226.34002833446286
229,228.79877045647424
230,231.25751257848566
231,233.71625470049702
232,236.17499682250843
233,238.6337389445198
234,241.0924810665312
235,243.5512231885426
236,246.00996531055398
237,248.46870743256537
238,250.92744955457675
239,253.38619167658817
240,251.27204503379264
241,242.86517508410074
242,237.8044267834895
243,194.7570563381002
244,179.78266492457112
245,195.72168137402716
246,211.6606978234832
247,224.56755402744992
248,210.2951428189889
249,196.02273161052784
250,216.60604873793596
251,201.80682603067103
252,187.0076033234061
253,207.18592948686134
254,255.0
255,255.0
